,start_station_name,end_station_name,count
1,11 St & Washington St,12 St & Sinatra Dr N,12
2,11 St & Washington St,14 St Ferry - 14 St & Shipyard Ln,35
3,11 St & Washington St,4 St & Grand St,27
4,11 St & Washington St,6 St & Grand St,28
5,11 St & Washington St,7 St & Monroe St,15
6,11 St & Washington St,8 St & Washington St,46
7,11 St & Washington St,9 St HBLR - Jackson St & 8 St,30
8,11 St & Washington St,Adams St & 11 St,18
9,11 St & Washington St,Adams St & 2 St,40
10,11 St & Washington St,Bergen Ave & Sip Ave,2
11,11 St & Washington St,Bloomfield St & 15 St,17
12,11 St & Washington St,Brunswick & 6th,2
13,11 St & Washington St,Brunswick St,1
14,11 St & Washington St,Christ Hospital,1
15,11 St & Washington St,Church Sq Park - 5 St & Park Ave,60
16,11 St & Washington St,City Hall - Washington St & 1 St,116
17,11 St & Washington St,Clinton St & 7 St,10
18,11 St & Washington St,Clinton St & Newark St,43
19,11 St & Washington St,Columbus Dr at Exchange Pl,3
20,11 St & Washington St,Columbus Drive,1
21,11 St & Washington St,Columbus Park - Clinton St & 9 St,34
22,11 St & Washington St,E 51 St & 2 Ave,1
23,11 St & Washington St,Grand St,3
24,11 St & Washington St,Grand St & 14 St,17
25,11 St & Washington St,Grove St PATH,2
26,11 St & Washington St,Hamilton Park,7
27,11 St & Washington St,Harborside,4
28,11 St & Washington St,Heights Elevator,3
29,11 St & Washington St,Hoboken Ave at Monmouth St,21
30,11 St & Washington St,Hoboken Terminal - Hudson St & Hudson Pl,77
31,11 St & Washington St,Hoboken Terminal - River St & Hudson Pl,120
32,11 St & Washington St,Hudson St & 4 St,70
33,11 St & Washington St,JC Medical Center,3
34,11 St & Washington St,Jersey & 3rd,1
35,11 St & Washington St,Journal Square,1
36,11 St & Washington St,Lafayette Park,3
37,11 St & Washington St,Leonard Gordon Park,1
38,11 St & Washington St,Liberty Light Rail,3
39,11 St & Washington St,Lincoln Park,1
40,11 St & Washington St,Madison St & 1 St,17
41,11 St & Washington St,Madison St & 10 St,43
42,11 St & Washington St,Mama Johnson Field - 4 St & Jackson St,18
43,11 St & Washington St,Marin Light Rail,3
44,11 St & Washington St,Marshall St & 2 St,24
45,11 St & Washington St,Monmouth and 6th,3
46,11 St & Washington St,Montgomery St,5
47,11 St & Washington St,Newark Ave,4
48,11 St & Washington St,Newport PATH,3
49,11 St & Washington St,Newport Pkwy,16
