,index,lat,lng
0,11 St & Washington St,40.749990333032464,-74.02718736140429
1,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
2,14 St Ferry - 14 St & Shipyard Ln,40.752916153031606,-74.02431191844445
3,4 St & Grand St,40.742268376059016,-74.03508320196188
4,5 Corners Library,40.73497416679167,-74.05952595831847
5,6 St & Grand St,40.74437858646239,-74.03447839868532
6,7 St & Monroe St,40.74642493639741,-74.0380286862046
7,8 St & Washington St,40.74598271979199,-74.02816823278691
8,9 St HBLR - Jackson St & 8 St,40.74793281278844,-74.03841112969273
9,Adams St & 11 St,40.75086734758054,-74.03356182037257
10,Adams St & 2 St,40.73979841179733,-74.03689012302054
11,Astor Place,40.719276111812604,-74.07127583741752
12,Baldwin at Montgomery,40.723616579328976,-74.0641941937696
13,Bergen Ave,40.72211326699647,-74.07143150747063
14,Bergen Ave & Sip Ave,40.73104361248367,-74.06443169597715
15,Bergen Ave & Stegman St,40.706627455059866,-74.08670253830918
16,Bloomfield St & 15 St,40.75450461099914,-74.02657712307197
17,Brunswick & 6th,40.72602894617706,-74.0503929030257
18,Brunswick St,40.72414786663121,-74.05066483953951
19,Christ Hospital,40.73478751985362,-74.0504451350773
20,Church Sq Park - 5 St & Park Ave,40.742657893537604,-74.03224963376663
21,City Hall,40.717730294069206,-74.04387749609651
22,City Hall - Washington St & 1 St,40.73733143020761,-74.03099042544189
23,Clinton St & 7 St,40.7454153433474,-74.03333382214838
24,Clinton St & Newark St,40.73744627151288,-74.03570246500215
25,Columbus Dr at Exchange Pl,40.71687448913104,-74.03282962516803
26,Columbus Drive,40.718414308152724,-74.03889053483775
27,Columbus Park - Clinton St & 9 St,40.748178812964326,-74.03245770266106
28,Communipaw & Berry Lane,40.7143673025405,-74.06663274240287
29,Dey St,40.73765151591954,-74.06686104446743
30,Dixon Mills,40.721632342323566,-74.04998467723249
31,Essex Light Rail,40.712771947644676,-74.03648087782008
32,Fairmount Ave,40.72573472368576,-74.07196707842732
